Time v_x v_y v_z
0.981964 -0.685969 13.169595 -0.331177
0.983968 -0.671436 13.253283 -0.277456
0.985972 -0.642432 13.292128 -0.327228
0.987976 -0.653944 13.348730 -0.364402
0.989980 -0.621316 13.396964 -0.355331
0.991984 -0.660514 13.444238 -0.372960
0.993988 -0.675507 13.491248 -0.338609
0.995992 -0.665203 13.562056 -0.351198
0.997996 -0.645686 13.615574 -0.357102
1.000000 -0.676530 13.668354 -0.362137
