Time p_x p_y p_z
0.697395 -0.039107 9.058780 -0.247046
0.699399 -0.038995 9.092197 -0.247372
0.701403 -0.038885 9.125616 -0.247711
0.703407 -0.038764 9.159038 -0.248050
0.705411 -0.038615 9.192447 -0.248389
0.707415 -0.038474 9.225861 -0.248733
0.709419 -0.038324 9.259268 -0.249064
0.711423 -0.038182 9.292687 -0.249408
0.713427 -0.038031 9.326104 -0.249751
0.715431 -0.037897 9.359523 -0.250109
0.717435 -0.037732 9.392951 -0.250462
0.719439 -0.037550 9.426388 -0.250804
0.721443 -0.037373 9.459832 -0.251139
0.723447 -0.037197 9.493272 -0.251484
0.725451 -0.037024 9.526728 -0.251849
0.727455 -0.036847 9.560182 -0.252202
0.729459 -0.036667 9.593638 -0.252536
0.731463 -0.036482 9.627096 -0.252864
0.733467 -0.036286 9.660550 -0.253183
0.735471 -0.036083 9.694008 -0.253499
0.737475 -0.035869 9.727488 -0.253831
0.739479 -0.035673 9.760959 -0.254173
0.741483 -0.035477 9.794443 -0.254505
0.743487 -0.035284 9.827950 -0.254847
0.745491 -0.035088 9.861465 -0.255184
0.747495 -0.034886 9.894995 -0.255516
0.749499 -0.034696 9.928514 -0.255848
0.751503 -0.034503 9.962026 -0.256181
0.753507 -0.034324 9.995539 -0.256529
0.755511 -0.034162 10.029021 -0.256882
0.757515 -0.034005 10.062507 -0.257247
0.759519 -0.033860 10.096008 -0.257619
0.761523 -0.033719 10.129508 -0.257997
0.763527 -0.033584 10.163027 -0.258374
0.765531 -0.033449 10.196528 -0.258770
0.767535 -0.033301 10.230008 -0.259179
0.769539 -0.033163 10.263487 -0.259586
0.771543 -0.033012 10.296963 -0.259987
0.773547 -0.032857 10.330425 -0.260411
0.775551 -0.032718 10.363883 -0.260820
0.777555 -0.032614 10.397329 -0.261229
0.779559 -0.032511 10.430787 -0.261613
0.781563 -0.032394 10.451467 -0.262000
0.783567 -0.032263 10.472150 -0.262380
0.785571 -0.032132 10.492848 -0.262762
0.787575 -0.032006 10.513535 -0.263141
0.789579 -0.031888 10.534223 -0.263523
0.791583 -0.031754 10.554918 -0.263918
0.793587 -0.031625 10.575609 -0.264320
0.795591 -0.031470 10.596292 -0.264718
0.797595 -0.031302 10.616988 -0.265125
0.799599 -0.031129 10.637667 -0.265534
0.801603 -0.030940 10.658344 -0.265938
0.803607 -0.030762 10.679010 -0.266333
0.805611 -0.030571 10.699682 -0.266741
0.807615 -0.030393 10.720349 -0.267149
0.809619 -0.030215 10.741020 -0.267548
0.811623 -0.030055 10.761715 -0.267959
0.813627 -0.029868 10.782408 -0.268371
0.815631 -0.029675 10.803090 -0.268777
0.817635 -0.029471 10.823750 -0.269187
0.819639 -0.029277 10.844407 -0.269590
0.821643 -0.029088 10.865067 -0.269987
0.823647 -0.028887 10.885713 -0.270367
0.825651 -0.028686 10.906353 -0.270762
0.827655 -0.028466 10.926991 -0.271154
0.829659 -0.028256 10.947640 -0.271550
0.831663 -0.028021 10.968294 -0.271937
0.833667 -0.027777 10.988933 -0.272320
0.835671 -0.027508 11.009571 -0.272709
0.837675 -0.027238 11.030221 -0.273107
0.839679 -0.026954 11.050865 -0.273527
0.841683 -0.026689 11.071523 -0.273957
0.843687 -0.026417 11.092184 -0.274390
0.845691 -0.026160 11.112843 -0.274820
0.847695 -0.025914 11.133491 -0.275254
0.849699 -0.025659 11.154134 -0.275688
0.851703 -0.025414 11.174791 -0.276100
0.853707 -0.025158 11.195443 -0.276517
0.855711 -0.024904 11.216094 -0.276924
0.857715 -0.024651 11.236737 -0.277324
0.859719 -0.024396 11.257351 -0.277705
0.861723 -0.024132 11.277971 -0.278106
0.863727 -0.023862 11.298586 -0.278517
0.865731 -0.023582 11.319202 -0.278957
0.867735 -0.023293 11.339821 -0.279394
0.869739 -0.022982 11.360450 -0.279822
0.871743 -0.022678 11.381082 -0.280264
0.873747 -0.022372 11.401714 -0.280709
0.875752 -0.022080 11.422360 -0.281130
0.877756 -0.021777 11.443016 -0.281576
0.879760 -0.021465 11.463663 -0.282013
0.881764 -0.021152 11.484313 -0.282457
0.883768 -0.020829 11.504959 -0.282903
0.885772 -0.020510 11.525625 -0.283339
0.887776 -0.020196 11.546288 -0.283769
0.889780 -0.019875 11.566949 -0.284194
0.891784 -0.019563 11.587604 -0.284605
0.893788 -0.019249 11.608263 -0.285011
0.895792 -0.018926 11.628937 -0.285411
0.897796 -0.018606 11.649601 -0.285803
0.899800 -0.018283 11.670273 -0.286190
0.901804 -0.017966 11.690949 -0.286577
0.903808 -0.017666 11.711614 -0.286954
0.905812 -0.017371 11.732291 -0.287333
0.907816 -0.017091 11.752964 -0.287727
0.909820 -0.016797 11.773619 -0.288107
0.911824 -0.016507 11.794284 -0.288485
0.913828 -0.016218 11.814934 -0.288866
0.915832 -0.015918 11.835562 -0.289255
0.917836 -0.015625 11.856189 -0.289633
0.919840 -0.015329 11.876814 -0.289983
0.921844 -0.015028 11.897429 -0.290319
0.923848 -0.014730 11.918030 -0.290648
0.925852 -0.014415 11.938655 -0.290982
0.927856 -0.014094 11.979280 -0.291306
0.929860 -0.013771 12.019907 -0.291643
0.931864 -0.013431 12.060532 -0.291986
0.933868 -0.013091 12.101158 -0.292336
0.935872 -0.012745 12.141772 -0.292680
0.937876 -0.012402 12.182359 -0.293020
0.939880 -0.012062 12.222949 -0.293348
0.941884 -0.011718 12.263546 -0.293644
0.943888 -0.011378 12.304154 -0.293935
0.945892 -0.011009 12.344781 -0.294215
0.947896 -0.010652 12.385412 -0.294489
0.949900 -0.010294 12.426049 -0.294754
0.951904 -0.009928 12.466677 -0.295022
0.953908 -0.009575 12.507312 -0.295280
0.955912 -0.009214 12.547959 -0.295532
0.957916 -0.008845 12.588615 -0.295780
0.959920 -0.008467 12.629260 -0.296036
0.961924 -0.008097 12.669890 -0.296311
0.963928 -0.007703 12.710528 -0.296590
0.965932 -0.007311 12.751175 -0.296849
0.967936 -0.006931 12.791827 -0.297107
0.969940 -0.006549 12.832475 -0.297362
0.971944 -0.006164 12.873142 -0.297610
0.973948 -0.005806 12.913821 -0.297870
0.975952 -0.005456 12.954513 -0.298136
0.977956 -0.005104 12.995215 -0.298397
0.979960 -0.004751 13.035917 -0.298667
0.981964 -0.004416 13.076623 -0.298920
0.983968 -0.004082 13.117341 -0.299175
0.985972 -0.003745 13.158051 -0.299435
0.987976 -0.003406 13.198764 -0.299695
0.989980 -0.003083 13.239473 -0.299944
0.991984 -0.002766 13.280189 -0.300202
0.993988 -0.002441 13.320917 -0.300458
0.995992 -0.002127 13.361655 -0.300711
0.997996 -0.001817 13.402385 -0.300964
1.000000 -0.001532 13.443121 -0.301232
