Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
105 2.681005 1.043301 2.606974 0.582884 1.144262 1.723558 1.498038 0.679162 0.101953 1.588906 0.661271 1.544173 0.371053 0.199154 1.623732 0.340940 0.759482 0.809583 -0.035227 0.148069 1.222419 
106 2.681411 1.043754 2.607479 0.583326 1.144757 1.724035 1.498269 0.679422 0.102191 1.589013 0.661534 1.544472 0.371324 0.199274 1.623865 0.341177 0.759750 0.809829 -0.035117 0.148193 1.222534 
107 2.681806 1.044196 2.607971 0.583757 1.145239 1.724500 1.498494 0.679677 0.102423 1.589117 0.661792 1.544763 0.371588 0.199390 1.623994 0.341409 0.760012 0.810069 -0.035009 0.148313 1.222645 
108 2.682192 1.044626 2.608452 0.584177 1.145710 1.724955 1.498712 0.679924 0.102650 1.589219 0.662042 1.545047 0.371845 0.199504 1.624121 0.341634 0.760267 0.810304 -0.034904 0.148431 1.222754 
109 2.682568 1.045046 2.608920 0.584587 1.146169 1.725398 1.498926 0.680166 0.102871 1.589318 0.662287 1.545324 0.372096 0.199615 1.624244 0.341855 0.760516 0.810532 -0.034801 0.148546 1.222860 
110 2.682934 1.045455 2.609376 0.584987 1.146616 1.725830 1.499134 0.680401 0.103086 1.589415 0.662525 1.545594 0.372341 0.199723 1.624363 0.342069 0.760759 0.810756 -0.034701 0.148658 1.222964 
111 2.683291 1.045854 2.609821 0.585376 1.147053 1.726252 1.499337 0.680631 0.103296 1.589509 0.662757 1.545857 0.372580 0.199828 1.624480 0.342278 0.760996 0.810974 -0.034604 0.148767 1.223065 
112 2.683639 1.046243 2.610256 0.585756 1.147479 1.726664 1.499534 0.680855 0.103501 1.589600 0.662983 1.546114 0.372813 0.199931 1.624594 0.342482 0.761227 0.811186 -0.034509 0.148874 1.223164 
113 2.683978 1.046622 2.610679 0.586126 1.147894 1.727066 1.499727 0.681073 0.103701 1.589690 0.663204 1.546364 0.373041 0.200031 1.624706 0.342681 0.761452 0.811394 -0.034416 0.148978 1.223260 
114 2.684309 1.046992 2.611092 0.586488 1.148299 1.727458 1.499914 0.681286 0.103896 1.589777 0.663419 1.546608 0.373262 0.200128 1.624814 0.342875 0.761672 0.811596 -0.034326 0.149079 1.223354 
115 2.684631 1.047352 2.611494 0.586840 1.148695 1.727841 1.500097 0.681493 0.104086 1.589862 0.663629 1.546846 0.373479 0.200223 1.624920 0.343064 0.761886 0.811794 -0.034238 0.149178 1.223446 
116 2.684946 1.047704 2.611887 0.587183 1.149080 1.728214 1.500276 0.681695 0.104271 1.589944 0.663833 1.547078 0.373690 0.200316 1.625023 0.343249 0.762095 0.811987 -0.034152 0.149274 1.223535 
117 2.685252 1.048046 2.612270 0.587518 1.149456 1.728578 1.500449 0.681893 0.104452 1.590025 0.664033 1.547305 0.373896 0.200406 1.625123 0.343429 0.762299 0.812175 -0.034068 0.149368 1.223623 
118 2.685551 1.048381 2.612643 0.587845 1.149823 1.728934 1.500619 0.682085 0.104628 1.590104 0.664227 1.547525 0.374096 0.200494 1.625221 0.343604 0.762498 0.812358 -0.033986 0.149460 1.223708 
119 2.685842 1.048707 2.613008 0.588164 1.150180 1.729280 1.500784 0.682272 0.104800 1.590180 0.664416 1.547741 0.374292 0.200580 1.625317 0.343775 0.762692 0.812537 -0.033907 0.149550 1.223791 
120 2.686126 1.049024 2.613363 0.588474 1.150529 1.729619 1.500945 0.682455 0.104968 1.590255 0.664601 1.547950 0.374483 0.200664 1.625410 0.343942 0.762882 0.812712 -0.033829 0.149637 1.223872 
121 2.686403 1.049334 2.613709 0.588777 1.150870 1.729949 1.501102 0.682634 0.105132 1.590328 0.664781 1.548155 0.374670 0.200746 1.625501 0.344104 0.763066 0.812883 -0.033753 0.149722 1.223952 
122 2.686673 1.049636 2.614047 0.589073 1.151202 1.730271 1.501255 0.682807 0.105291 1.590399 0.664957 1.548355 0.374851 0.200825 1.625590 0.344263 0.763246 0.813049 -0.033679 0.149805 1.224029 
123 2.686936 1.049931 2.614377 0.589361 1.151525 1.730585 1.501405 0.682977 0.105447 1.590468 0.665128 1.548550 0.375029 0.200903 1.625676 0.344417 0.763422 0.813211 -0.033607 0.149886 1.224104 
